Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Polaris Lance,3413074534,"""6917529088243396912""",keep,Exotic,Scout Rifle,,Energy,Solar,1600,,,10,Vault,true,false,1,3,,97,39,67,77,21,0,0,72,150,43,15,24,0,0,0,0,0,0,0,0,0,27,false,0,1357,,,keep,The Perfect Fifth*,Smallbore*,Tactical Mag*,Zen Moment*,Fitted Stock*,IKELOS Field Tuning*,Polaris Lance Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Malfeasance,204878059,"""6917529094751205671""",keep,Exotic,Hand Cannon,,KineticSlot,Kinetic,1810,,Range,10,Warlock(1816),true,false,2,4,,98,50,78,65,14,0,0,95,180,60,14,24,0,0,0,0,0,0,0,0,0,63,false,0,7128,,"Mactics' Fallen Sunstar Warlock, Nez Strand Graviton, 1SQ Stasis, #1 NEW gryfalcon's #invisible #volatile #, Criss ARC, Mactics' Strand Osteo Warlock",keep,Explosive Shadow*,Corkscrew Rifling*,Extended Mag*,Taken Predator*,Heavy Grip*,The Pink Mist*,Kill Tracker*,Crucible Tracker,Malfeasance Catalyst*,,,,,,,,,,
Truth,1201830623,"""6917529094833723889""",keep,Exotic,Rocket Launcher,,Power,Void,1600,,,,Vault,true,false,2,7,,60,73,0,0,20,100,47,67,15,49,1,65,0,0,0,0,0,0,0,0,0,9,false,0,103,,,keep,Prototype Trueseeker*,Volatile Launch*,High-Velocity Rounds*,Grenades and Horseshoes*,Composite Stock*,Stolen Goods*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Outbreak Perfected,400096939,"""6917529096710422346""",keep,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,true,false,2,6,,90,65,27,64,17,0,0,40,450,45,35,35,0,0,0,0,0,0,0,0,0,29,false,0,150,,,keep,The Corruption Spreads*,Extended Barrel*,Accurized Rounds*,Outlaw*,Parasitism*,Matterscourge*,Kill Tracker*,Crucible Tracker,Outbreak Perfected Catalyst*,,,,,,,,,,
The Prospector,3549153979,"""6917529096874833112""",keep,Exotic,Grenade Launcher,,Power,Arc,1600,,"Inventory Size, Blast Radius",10,Vault,true,false,1,1,,75,60,0,0,13,65,55,45,165,5,8,45,0,0,0,0,0,0,0,0,0,15,false,0,501,tex-mechanica,,keep,Excavation*,Volatile Launch*,Augmented Drum*,Full Auto Trigger System*,Hand-Laid Stock*,Belvedere*,Prospector Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Wavesplitter,1852863732,"""6917529103521930937""",keep,Exotic,Trace Rifle,,Energy,Void,1800,,,,Titan(1813),true,false,2,4,,100,100,6,67,16,0,0,96,1000,45,100,46,0,0,0,0,0,0,0,0,0,14,false,0,133,omolon,#1 NEW gryfalcon's #invisible #volatile #,keep,Harmonic Laser*,Polygonal Rifling*,Enhanced Battery*,Supercharged Battery*,Fitted Stock*,Pseudoscience*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Xenophage,1395261499,"""6917529124100657508""",keep,Exotic,Machine Gun,,Power,Solar,1800,,,,Vault,true,false,3,8,,85,33,100,88,16,0,0,27,120,31,20,30,0,0,0,0,0,0,0,0,0,12,false,0,1034,,,keep,Pyrotoxin Rounds*,Full Bore*,High-Caliber Rounds*,Rangefinder*,Composite Stock*,Homesteader*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
The Mountaintop,3993415705,"""6917529130163839891""",keep,Legendary,Grenade Launcher,crucible,KineticSlot,Kinetic,1600,1060,Velocity,10,Vault,true,false,2,5,,62,75,0,0,13,95,100,23,90,63,1,69,0,0,0,0,0,0,0,0,0,2,false,0,7342,,,ContraLock,Lightweight Frame*,Hard Launch*,Volatile Launch,Spike Grenades*,Sticky Grenades,Rangefinder*,Micro-Missile*,Bergusian Night*,Masterworked: Velocity*,Kill Tracker*,Crucible Tracker,,,,,,,,
Whisper of the Worm,1891561814,"""6917529151255403799""",keep,Exotic,Sniper Rifle,,Power,Solar,1600,,Reload Speed,10,Vault,true,false,1,3,,94,39,100,85,40,0,0,35,72,66,3,23,0,0,0,0,0,0,0,0,0,80,false,0,74,,,keep,White Nail*,Polygonal Rifling*,Accurized Rounds*,Mulligan*,Fitted Stock*,Whisper Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,,
Divinity,4103414242,"""6917529155200392303""",keep,Exotic,Trace Rifle,garden,Energy,Arc,1800,,,,Vault,true,false,3,8,,100,100,6,67,16,0,0,100,1000,45,94,56,0,0,0,0,0,0,0,0,0,17,false,0,201,,,keep,Judgment*,Polygonal Rifling*,Particle Repeater*,Penance*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Anarchy,2376481550,"""6917529155849515102""",keep,Exotic,Grenade Launcher,,Power,Arc,1785,,,,Vault,true,false,2,5,,50,69,0,0,13,70,100,65,150,73,6,79,0,0,0,0,0,0,0,0,0,20,false,0,206,,,keep,Arc Traps*,Quick Launch*,High-Velocity Rounds*,Moving Target*,Composite Stock*,Uniocracy*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
The Colony,3899270607,"""6917529160540961847""",keep,Exotic,Grenade Launcher,,Power,Void,1786,,"Magazine, Inventory Size",10,Vault,true,false,1,2,,80,60,0,0,13,35,35,90,140,70,8,85,0,0,0,0,0,0,0,0,0,24,false,0,114,veist,,keep,Insectoid Robot Grenades*,Linear Compensator*,High-Velocity Rounds*,Serve the Colony*,Composite Stock*,Colony Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,,
Point of the Stag,3434944005,"""6917529172406402736""",keep,Legendary,Combat Bow,ironbanner,Energy,Arc,1600,,Accuracy,10,Vault,true,false,3,10,,77,72,76,0,18,0,0,55,0,40,0,61,0,612,63,0,0,0,0,0,0,10,false,0,202,,,,Precision Frame*,Elastic String*,Natural Fletching*,No Distractions,Archer's Tempo*,Vorpal Weapon*,Eye of the Storm,Iron Precious*,Masterworked: Target Acquisition*,Kill Tracker*,Crucible Tracker,,,,,,,,
Dire Promise,2742838701,"""6917529182136140936""",keep,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,3,10,,84,88,84,47,14,0,0,72,140,49,11,72,0,0,0,0,0,0,0,0,0,10,false,0,772,field-forged,,,Adaptive Frame*,Fastdraw HCS*,Crossfire HCS,Ricochet Rounds*,Flared Magwell,Overflow*,Rangefinder*,Masterworked: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Age-Old Bond,601592879,"""6917529185958821709""",keep,Legendary,Auto Rifle,lastwish,Energy,Void,1600,,Range,10,Vault,true,false,3,11,,79,61,33,100,16,0,0,37,360,34,32,38,0,0,0,0,0,0,0,0,0,10,false,0,17,,,,High-Impact Frame*,Corkscrew Rifling,Polygonal Rifling,Smallbore*,Armor-Piercing Rounds,High-Caliber Rounds*,Zen Moment*,Dragonfly*,Masterworked: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Felwinter's Lie,1179141605,"""6917529189072477138""",keep,Legendary,Shotgun,rasputin,Energy,Solar,1600,,Range,10,Vault,true,false,3,10,,62,33,80,41,12,0,0,19,55,34,4,26,0,0,0,0,0,0,0,0,0,2,false,0,329,,,,Shot Package*,Full Choke*,Accurized Rounds*,Slideshot,Surplus*,Opening Shot,Vorpal Weapon*,Metallic Sunset*,Masterworked: Range*,Blissful Ignorance*,Kill Tracker*,Crucible Tracker,,,,,,,
True Prophecy,2742838700,"""6917529190288964118""",keep,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,,Range,4,Vault,true,false,3,10,,93,67,92,62,14,0,0,27,120,52,9,45,0,0,0,0,0,0,0,0,0,10,false,0,0,fotc,,,Aggressive Frame*,Fastdraw HCS*,Crossfire HCS,Drop Mag*,Tactical Mag,Overflow*,Demolitionist*,Tier 4: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Astral Horizon,1697682876,"""6917529191379529670""",keep,Legendary,Shotgun,trials,KineticSlot,Kinetic,1600,,Handling,3,Vault,true,false,3,10,,62,34,80,49,12,0,0,27,55,33,4,31,0,0,0,0,0,0,0,0,0,5,false,0,0,,,trials,Aggressive Frame*,Smoothbore*,Barrel Shroud,Assault Mag,Accurized Rounds*,Auto-Loading Holster*,Opening Shot*,Tier 3: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Nation of Beasts,654370424,"""6917529191552738806""",keep,Legendary,Hand Cannon,lastwish,Energy,Arc,1600,,Range,10,Vault,true,false,3,11,,95,71,84,70,14,0,0,47,140,55,11,37,0,0,0,0,0,0,0,0,0,10,false,0,12,,,,Adaptive Frame*,Full Bore*,Light Mag*,Outlaw*,Dragonfly*,Oiled Algae*,Masterworked: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Le Monarque,3588934839,"""6917529191750305288""",keep,Exotic,Combat Bow,ada,Energy,Void,1810,,"Reload Speed, Stability",10,Hunter(1814),true,false,2,5,,78,70,68,0,18,0,0,81,0,70,0,69,0,612,78,0,0,0,0,0,0,18,false,0,16579,,"weapons, Mactics' Fallen Sunstar Warlock, Nez Strand Graviton, #1 NEW gryfalcon's #invisible #volatile #, #GM #Arms-dealer #",keep,Poison Arrows*,Natural String*,Compact Arrow Shaft*,Snapshot Sights*,Infinite Quiver*,Kill Tracker*,Crucible Tracker,Le Monarque Catalyst*,,,,,,,,,,,
Witherhoard,2357297366,"""6917529193356799479""",keep,Exotic,Grenade Launcher,,KineticSlot,Kinetic,1810,,Handling,10,Vault,true,false,3,11,,100,84,0,0,12,5,12,68,90,33,6,100,0,0,0,0,0,0,0,0,0,6,false,0,14416,,"weapons, #a-cowl #12punch #",keep,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Splendid Vidua*,Kill Tracker*,Crucible Tracker,Witherhoard Catalyst*,,,,,,,,,,
Trinity Ghoul,814876685,"""6917529193748845036""",keep,Exotic,Combat Bow,,Energy,Arc,1810,,"Charge Time, Draw Time",10,Warlock(1816),true,false,2,4,,77,74,80,0,18,0,0,45,0,60,0,63,0,648,95,0,0,0,0,0,0,24,false,0,28015,,"weapons, Mactics' Fallen Sunstar Warlock, Nez Strand Graviton, Mactics' Strand Osteo Warlock, Equipped 24/06/2023, 01:41:38, #GM #Arms-dealer #",keep,Split Electron*,High Tension String*,Compact Arrow Shaft*,Lightning Rod*,Three Glowing Dawns*,Kill Tracker*,Crucible Tracker,Trinity Ghoul Catalyst*,,,,,,,,,,,
Skyburner's Oath,4255268456,"""6917529195084177456""",keep,Exotic,Scout Rifle,,Energy,Solar,1688,,Reload Speed,10,Vault,true,false,1,1,,100,90,67,80,21,0,0,50,150,50,20,65,0,0,0,0,0,0,0,0,0,45,false,0,3701,,,keep,Slug Rifle*,Extended Barrel*,Extended Mag*,For the Empire*,Short-Action Stock*,Skyburner Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,,
Falling Guillotine,614426548,"""6917529195884501227""",keep,Legendary,Sword,seasonpass,Power,Void,1806,,Impact,10,Vault,true,false,3,11,,0,0,68,0,0,0,0,0,0,0,55,0,0,0,0,30,10,0,40,40,0,0,false,0,21573,,,ContraLock,Vortex Frame*,Hungry Edge,Honed Edge,Jagged Edge*,Balanced Guard,Swordmaster's Guard*,Relentless Strikes*,Whirlwind Blade*,Cayde's Duds*,Masterworked: Impact*,Riptide*,Kill Tracker*,Crucible Tracker,,,,,,
Sleeper Simulant,4036115577,"""6917529196689138779""",keep,Exotic,Linear Fusion Rifle,,Power,Solar,1810,,Charge Time,10,Warlock(1816),true,false,1,3,,65,57,41,59,25,0,0,54,0,44,4,40,774,0,0,0,0,0,0,0,0,9,false,0,892,,,keep,Dornröschen*,Polygonal Rifling*,Flared Magwell*,Moving Target*,Composite Stock*,Hypnopompic*,Sleeper Simulant Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Ruinous Effigy,1363238943,"""6917529197041547425""",keep,Exotic,Trace Rifle,,Energy,Void,1600,,,10,Vault,true,false,3,11,,96,84,8,45,12,0,0,78,1000,33,94,53,0,0,0,0,0,0,0,0,0,16,false,0,219,,,keep,Transmutation*,Hammer-Forged Rifling*,Particle Repeater*,Evolution*,Composite Stock*,Ashen Icon*,Kill Tracker*,Crucible Tracker,Ruinous Effigy Catalyst*,,,,,,,,,,
The Wardcliff Coil,1508896098,"""6917529197151616174""",keep,Exotic,Rocket Launcher,,Power,Arc,1600,,,10,Vault,true,false,1,1,,60,80,0,0,15,25,95,55,60,30,1,80,0,0,0,0,0,0,0,0,0,11,false,0,396,,,keep,Mad Scientist*,Volatile Launch*,Extended Mag*,Mechanized Autoloader*,Composite Stock*,Dieselpunk*,Wardcliff Coil Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
